Sw,Krw,Kro,pc
0,0,1,1827.8
0.0165,0.00E+00,0.9394007,1444.518
0.025,0.00E+00,0.9080903,1269.4
0.033,0.00E+00,0.879282,1135.518
0.0495,0.00E+00,0.8239987,916.0221
0.05,0.00E+00,0.8223931,910.02
0.066,0.00E+00,0.7731554,745.9675
0.075,0.00E+00,0.7470281,670.02
0.0825,0.00E+00,0.7260146,613.399
0.099,0.00E+00,0.6819126,510.3071
0.1,0.00E+00,0.6793211,504.64
0.1155,0.00E+00,0.6403207,427.5494
0.125,0.00E+00,0.6173504,387.59
0.132,0.00E+00,0.6008349,360.8832
0.1485,0.00E+00,0.5631531,307.2465
0.15,0.00E+00,0.5598066,302.8
0.165,0.001805274,0.5270542,263.0188
0.175,0.002221468,0.5058771,240.13
0.1815,0.002527138,0.4923795,226.4888
0.198,0.003437885,0.4590195,196.3308
0.2,0.003562836,0.4550606,192.98
0.2145,0.004565692,0.426902,170.925
0.225,0.005409582,0.4070896,156.92
0.231,0.005940281,0.3959838,149.5188
0.2475,0.007592825,0.3662437,131.4859
0.25,0.007869965,0.3618399,128.97
0.264,0.009555825,0.3376765,116.036
0.275,0.01105311,0.3192857,107.01
0.2805,0.01186297,0.3102883,102.8055
0.297,0.01454895,0.284093,91.47272
0.3,0.01508133,0.27946,89.568
0.3135,0.01764925,0.2591083,81.63094
0.325,0.02007374,0.2424207,75.563
0.33,0.02119994,0.2353535,73.08986
0.3465,0.02523738,0.2128469,65.67171
0.35,0.02616042,0.208235,64.212
0.363,0.02979794,0.1916038,59.15511
0.375,0.03346337,0.1769545,54.929
0.3795,0.03491768,0.1716354,53.43571
0.396,0.04063209,0.1529471,48.41057
0.4,0.04211141,0.1486094,47.277
0.4125,0.04697568,0.135538,43.95337
0.425,0.05222028,0.1231967,40.922
0.429,0.05398177,0.1194002,40.00396
0.4455,0.06168213,0.1045188,36.4998
0.45,0.06390718,0.1006752,35.608
0.462,0.07010683,0.09087132,33.36529
0.475,0.07727275,0.08096951,31.135
0.4785,0.07928404,0.07842837,30.56455
0.495,0.08923999,0.06715384,28.05833
0.5,0.09241477,0.06396118,27.348
0.5115,0.09999903,0.05700542,25.80108
0.525,0.1094148,0.04950738,24.125
0.528,0.1115839,0.04793525,23.76991
0.5445,0.124016,0.03989057,21.93832
0.55,0.1283522,0.0374265,21.366
0.561,0.1373164,0.03281457,20.27817
0.575,0.1492979,0.02752656,18.994
0.5775,0.1515063,0.02664707,18.77473
0.594,0.1666087,0.02132539,17.4101
0.6,0.1723319,0.01958671,16.944
0.6105,0.1826498,0.01678503,16.16636
0.625,0.1975458,0.01338899,15.166
0.627,0.1996613,0.01296043,15.0337
0.6435,0.217683,0.009785629,13.99934
0.65,0.2250708,0.00869836,13.616
0.66,0.2367663,0.007194854,13.05237
0.675,0.2550908,0.005292373,12.262
0.6765,0.2569781,0.005123079,12.18605
0.693,0.2784065,0.003506498,11.39103
0.7,0.2878918,0.002942531,11.073
0.7095,0.3011662,0.002282941,10.65896
0.725,0.3238897,0.001438291,10.025
0.726,0.325406,0.001392237,9.985652
0.7425,0.3513151,0.000776531,9.365915
0.75,0.3637058,0.00057226,9.1
0.759,0.3791262,0.00038058,8.793256
0.775,0.4081596,0.000157206,8.2799
0.7755,0.4091031,0.000152041,8.264429
0.792,0.4414735,4.18E-05,7.775084
0.8,0.4581766,1.62E-05,7.5508
0.8085,0.4761313,4.63E-06,7.321337
0.825,0.5100219,0,6.9009
0.85,0.5661953,0,6.32
0.875,0.6266545,0,5.7994
0.9,0.6915901,0,5.3318
0.925,0.7611952,0,4.9107
0.95,0.8356658,0,4.5308
0.975,0.9152003,0,4.1872
1,1,0,3.8758
